Tahun,Provinsi,Luas_Area_Negara,Produksi_Negara,Luas_Area_Swasta,Produksi_Swasta,Luas_Area_Rakyat,Produksi_Rakyat,Total_Area,Total_Produksi
2021,Sulawesi Utara,0,0,0,0,0,0,0,0
2021,Sulawesi Tengah,0,0,88830,311352,54766,133965,143596,445317
2021,Sulawesi Selatan,11089,13792,1184,3804,34677,96003,46950,113599
2021,Sulawesi Tenggara,872,1282,61974,55647,7945,3938,70791,60867
2021,Gorontalo,0,0,14185,9861,4958,4259,19143,14120
2021,Sulawesi Barat,0,0,40269,136361,108124,242733,148393,379094
2021,Maluku,0,0,9342,20800,853,118,10195,20918
2021,Maluku Utara,0,0,5555,0,0,0,5555,0
2021,Papua Barat,0,0,45929,97049,22135,21799,68064,118848
2021,Papua,0,0,153475,707345,20794,20969,174269,728314
2022,Aceh,31450,77549,184491,442373,258991,459727,474933,979649
2022,Sumatera Utara,302220,1426891,578024,1911039,490163,1713582,1370407,5051511
2022,Sumatera Barat,7828,30762,180403,705324,251672,675536,439904,1411623
2022,Riau,75158,393686,1030781,3527238,1762164,4818207,2868103,8739131
2022,Jambi,19567,82709,280422,912649,771997,1519348,1071987,2514706
2022,Sumatera Selatan,25097,88375,574335,2152234,534756,1778342,1134188,4018951
2022,Bengkulu,830,2923,97931,305045,319346,1069003,418107,1376971
2022,Lampung,7601,32779,80255,239881,110726,203104,198582,475764
2022,Kepulauan Bangka Belitung,0,0,159501,656973,90651,209722,250152,866695
2022,Kepulauan Riau,0,0,6354,17273,1326,1409,7680,18682
2022,DKI Jakarta,0,0,0,0,0,0,0,0
2022,Jawa Barat,11255,28082,4248,4857,263,380,15767,33320
2022,Jawa Tengah,0,0,0,0,0,0,0,0
2022,Daerah Istimewa Yogyakarta,0,0,0,0,0,0,0,0
2022,Jawa Timur,0,0,0,0,0,0,0,0
2022,Banten,9998,24070,2359,1892,6678,3225,19035,29187
2022,Bali,0,0,0,0,0,0,0,0
2022,Nusa Tenggara Barat,0,0,0,0,0,0,0,0
2022,Nusa Tenggara Timur,0,0,0,0,0,0,0,0
2022,Kalimantan Barat,27213,47197,1448396,3977463,597067,1109708,2072675,5134368
2022,Kalimantan Tengah,0,0,1808538,7332030,397298,1031733,2205836,8363763
2022,Kalimantan Selatan,5377,14488,400961,1073591,109778,254884,516117,1342963
2022,Kalimantan Timur,15110,26444,1157752,3248263,197730,826156,1370592,4100863
2022,Kalimantan Utara,0,0,198052,499997,38938,74411,236990,574408
2022,Sulawesi Utara,0,0,0,0,0,0,0,0
2022,Sulawesi Tengah,0,0,83080,297379,59137,139055,142217,436434
2022,Sulawesi Selatan,8683,18664,1362,3875,40187,101073,50232,123612
2022,Sulawesi Tenggara,923,1356,61162,55773,11795,8467,73880,65596
2022,Gorontalo,0,0,14186,12187,4923,4256,19109,16443
2022,Sulawesi Barat,0,0,39031,123985,108443,263567,147474,387552
2022,Maluku,0,0,9342,18966,853,124,10195,19090
2022,Maluku Utara,0,0,5555,17979,0,0,5555,17979
2022,Papua Barat,0,0,45892,72464,27387,22396,73279,94860
2022,Papua,0,0,124419,602360,21138,23192,145557,625552
2023,Aceh,31450,77549,184491,442373,258991,459727,474933,979649
2023,Sumatera Utara,302220,1426891,578024,1911039,490163,1713582,1370407,5051511
2023,Sumatera Barat,7828,30762,180403,705324,251672,675536,439904,1411623
2023,Riau,75158,393686,1030781,3527238,1762164,4818207,2868103,8739131
2023,Jambi,19567,82709,280422,912649,771997,1519348,1071987,2514706
2023,Sumatera Selatan,25097,88375,574335,2152234,534756,1778342,1134188,4018951
2023,Bengkulu,830,2923,97931,305045,319346,1069003,418107,1376971
2023,Lampung,7601,32779,80255,239881,110726,203104,198582,475764
2023,Kepulauan Bangka Belitung,0,0,159501,656973,90651,209722,250152,866695
2023,Kepulauan Riau,0,0,6354,17273,1326,1409,7680,18682
2023,DKI Jakarta,0,0,0,0,0,0,0,0
2023,Jawa Barat,11255,28082,4248,4857,263,380,15767,33320
2023,Jawa Tengah,0,0,0,0,0,0,0,0
2023,Daerah Istimewa Yogyakarta,0,0,0,0,0,0,0,0
2023,Jawa Timur,0,0,0,0,0,0,0,0
2023,Banten,9998,24070,2359,1892,6678,3225,19035,29187
2023,Bali,0,0,0,0,0,0,0,0
2023,Nusa Tenggara Barat,0,0,0,0,0,0,0,0
2023,Nusa Tenggara Timur,0,0,0,0,0,0,0,0
2023,Kalimantan Barat,27213,47197,1448396,3977463,597067,1109708,2072675,5134368
2023,Kalimantan Tengah,0,0,1808538,7332030,397298,1031733,2205836,8363763
2023,Kalimantan Selatan,5377,14488,400961,1073591,109778,254884,516117,1342963
2023,Kalimantan Timur,15110,26444,1157752,3248263,197730,826156,1370592,4100863
2023,Kalimantan Utara,0,0,198052,499997,38938,74411,236990,574408
2023,Sulawesi Utara,0,0,0,0,0,0,0,0
2023,Sulawesi Tengah,0,0,83080,297379,59137,139055,142217,436434
2023,Sulawesi Selatan,8683,18664,1362,3875,40187,101073,50232,123612
2023,Sulawesi Tenggara,923,1356,61162,55773,11795,8467,73880,65596
2023,Gorontalo,0,0,14186,12187,4923,4256,19109,16443
2023,Sulawesi Barat,0,0,39031,123985,108443,263567,147474,387552
2023,Maluku,0,0,9342,18966,853,124,10195,19090
2023,Maluku Utara,0,0,5555,17979,0,0,5555,17979
2023,Papua Barat,0,0,45892,72464,27387,22396,73279,94860
2023,Papua,0,0,124419,602360,21138,23192,145557,625552
